sex,Birth,event10,years,Nbridewealth,Ndowry
0,1991,0,3,0,0
1,1989,0,3,0,0
0,1971,0,10,0,0
1,1975,0,10,0,0
0,1967,0,,0,0
1,1931,0,,0,0
1,1962,1,5,0,2
0,1965,0,10,10,0
1,1955,1,2,0,1
0,1988,0,10,0,30
1,1989,0,8,0,30
0,1984,0,8,42,26
1,1990,0,6,44,35
0,1969,0,10,0,22
0,1982,0,10,40,27
1,1985,0,10,28,22
0,1955,1,9,0,0
1,1984,0,,0,0
0,1983,1,8,0,0
1,1984,1,2,16,20
0,1977,1,9,20,20
1,1982,0,8,40,20
0,1970,0,10,0,0
1,1969,0,10,0,0
1,1991,1,2,0,0
1,1948,0,10,0,0
0,1987,1,2,0,0
0,1961,0,,0,0
0,1947,0,10,0,0
1,1945,0,,0,0
0,1953,1,3,0,0
1,1960,0,10,0,0
1,1994,0,4,0,0
0,1978,1,9,0,0
0,1967,0,10,7,11
0,1973,0,10,50,12
0,1984,1,2,0,0
1,1986,1,1,0,0
0,1947,1,4,0,0
1,1958,0,10,0,0
0,1970,0,,37,20
1,1970,0,10,31,12
0,1974,0,10,0,20
1,1979,0,10,0,0
0,1963,0,10,0,5
1,1965,0,10,0,5
0,1969,0,10,0,0
1,1970,0,10,0,0
0,1978,0,10,0,0
1,1975,0,10,0,0
0,1952,0,10,0,0
1,1953,0,10,0,0
0,1973,1,3,0,0
0,1971,0,10,37,14
1,1974,0,10,0,30
0,1985,1,3,0,0
1,1984,0,10,0,14
0,1987,0,10,27,22
1,1982,1,4,0,0
0,1967,1,8,0,0
1,1970,0,10,0,0
0,1947,0,10,0,0
1,1949,0,10,0,0
0,1977,0,10,11,12
1,1981,0,10,27,16
0,1988,0,,0,0
1,1995,0,4,0,0
0,1983,0,8,0,0
1,1989,0,8,0,0
0,1988,0,9,18,27
1,1985,0,9,18,27
0,1973,0,10,29,0
0,1982,0,10,0,15
1,1950,0,,0,2
1,1986,0,7,0,30
0,1990,0,8,53,40
1,1988,0,8,35,36
0,1978,0,10,11,50
1,1976,0,10,11,50
0,1955,0,10,0,1
1,1957,0,10,0,1
0,1970,0,10,16,16
1,1966,1,2,0,0
0,1953,0,10,5,0
1,1982,0,10,0,0
1,1951,1,3,0,0
1,1978,1,8,0,20
0,1963,0,10,0,0
1,1963,0,10,0,0
0,1966,0,10,0,6
1,1991,0,4,0,26
0,1954,0,10,0,0
1,1959,0,10,0,0
0,1979,1,3,0,0
1,1985,0,10,19,36
0,1978,0,10,27,7
1,1974,1,2,0,12
0,1970,0,10,0,20
1,1976,0,10,0,20
0,1948,0,10,0,2
1,1990,0,10,0,21
0,1985,0,10,15,0
1,1984,0,10,0,0
0,1991,0,5,0,28
1,1992,0,5,0,21
0,1965,0,10,0,12
1,1991,0,5,0,18
1,1991,0,1,6,10
0,1995,0,3,0,0
1,1991,1,2,0,0
1,1993,0,2,13,13
0,1989,0,8,0,11
1,1991,0,8,0,15
0,1969,0,10,0,11
1,1990,0,5,0,18
0,1986,0,,0,32
1,1966,1,3,0,15
1,1975,0,10,0,13
0,1972,0,10,0,30
1,1971,1,7,0,12
0,1978,1,2,0,0
1,1982,1,2,0,0
0,1982,0,10,28,22
1,1984,0,10,68,45
0,1969,0,10,0,11
1,1971,0,10,0,11
0,1980,0,10,78,65
1,1982,0,10,45,69
0,1991,1,2,0,0
1,1992,0,8,9,35
1,1984,1,3,0,0
0,1962,0,10,10,0
1,1968,0,10,0,0
0,1963,0,10,0,7
1,1973,0,10,0,0
0,1990,0,1,13,0
1,1989,0,1,13,9
0,1941,0,10,0,0
1,1943,0,10,0,0
1,1991,0,6,0,0
0,1976,1,3,0,16
1,1978,0,10,0,39
0,1982,1,3,0,0
1,1993,1,3,0,0
0,1947,0,10,0,0
1,1977,0,10,0,12
1,1971,0,,0,20
0,1980,1,2,19,0
1,1985,0,10,0,0
0,1965,1,4,0,0
1,1970,0,10,9,0
0,1982,0,10,63,65
1,1985,0,10,21,30
0,1962,0,10,0,17
1,1940,0,10,0,0
1,1964,0,10,0,18
0,1985,0,10,37,18
1,1983,0,,0,0
0,1957,0,10,0,0
1,1966,0,10,0,0
1,1992,0,1,0,0
0,1971,0,10,41,7
1,1978,0,10,0,0
0,1967,0,10,45,23
1,1971,0,10,0,0
0,1974,0,10,0,0
1,1970,0,10,0,0
0,1982,0,10,0,10
1,1979,0,10,0,27
0,1980,0,10,22,0
1,1977,0,10,21,0
0,1969,0,10,81,49
1,1973,0,10,84,20
0,1987,0,6,58,63
1,1991,0,6,42,55
0,1965,0,10,136,28
1,1969,0,10,20,0
0,1967,0,10,0,23
1,1967,0,10,0,12
0,1961,0,10,0,0
1,1990,0,6,0,9
0,1987,0,10,16,9
1,1986,1,2,50,0
0,1972,0,10,0,0
1,1974,0,10,0,0
0,1995,1,1,0,0
0,1995,0,,0,0
1,1974,1,9,0,0
0,1970,1,2,23,15
1,1979,0,,16,15
0,1939,0,10,0,0
1,1946,0,10,0,0
1,1984,0,,0,0
0,1962,0,10,0,0
1,1958,0,10,0,0
0,1975,0,10,11,6
1,1979,0,10,6,11
0,1972,0,10,0,10
1,1972,0,10,0,11
0,1977,1,6,31,7
1,1982,1,1,0,15
0,1947,0,,0,0
0,1964,1,3,0,4
1,1970,0,10,0,2
0,1988,0,10,43,20
1,1987,0,10,0,36
0,1966,0,10,38,45
1,1970,0,10,28,27
0,1962,0,10,0,0
1,1963,0,10,0,0
0,1994,0,5,0,0
1,1994,0,5,0,0
1,1991,0,5,0,20
0,1946,0,10,0,0
1,1963,0,10,0,0
0,1980,0,10,22,20
1,1986,0,10,24,20
0,1973,0,10,15,20
1,1974,0,10,0,26
0,1990,0,8,0,21
1,1989,0,8,0,12
0,1955,0,,0,0
1,1988,1,6,0,16
0,1991,0,5,0,0
1,1992,0,5,0,0
1,1983,1,4,18,16
1,1960,0,,17,19
0,1995,1,1,0,0
0,1982,1,2,0,0
1,1984,0,9,0,62
0,1985,0,,0,0
1,1993,0,5,41,46
1,1994,1,1,0,0
0,1985,0,10,46,27
1,1981,1,2,0,0
0,1960,1,4,0,0
1,1966,0,10,0,0
0,1991,0,6,35,42
1,1991,0,6,0,0
0,1944,0,10,0,0
1,1967,0,10,0,12
0,1939,0,10,0,0
1,1947,0,10,0,0
0,1957,0,10,0,0
1,1950,0,10,0,0
0,1970,0,10,0,0
1,1971,0,10,0,15
1,1994,0,3,0,0
0,1952,0,10,0,0
1,1957,0,10,0,0
0,1955,1,4,0,0
1,1956,1,4,0,0
0,1947,0,10,0,0
1,1950,0,10,0,0
0,1979,0,10,0,0
1,1975,1,3,0,0
0,1993,0,2,0,0
1,1992,0,2,35,32
0,1983,0,,0,0
1,1973,0,,0,0
0,1980,0,,0,0
1,1990,1,5,0,15
0,1979,0,10,0,0
1,1970,0,10,15,16
0,1983,0,4,30,13
0,1954,0,,0,0
0,1987,0,10,0,20
0,1983,0,10,25,15
1,1942,0,10,0,0
0,1973,0,10,129,30
0,1973,1,9,0,0
1,1973,0,10,0,10
0,1987,0,6,59,70
1,1988,0,6,56,70
0,1966,0,10,0,0
1,1992,0,2,0,0
0,1942,0,10,0,8
1,1969,1,1,15,0
0,1943,0,10,0,0
1,1956,0,10,0,0
0,1944,0,10,0,0
1,1945,0,10,0,0
0,1989,0,6,2,64
1,1992,0,6,0,62
0,1991,0,8,0,13
1,1983,1,2,2,12
0,1980,0,10,45,25
1,1979,0,10,45,20
0,1955,1,5,0,0
1,1962,0,10,0,0
0,1990,0,7,43,42
1,1987,0,7,8,37
0,1977,0,10,90,40
1,1984,0,10,45,27
0,1961,0,10,25,23
1,1963,0,10,0,0
0,1984,1,2,0,0
1,1983,1,4,0,0
0,1982,0,10,0,13
0,1972,0,10,0,0
1,1967,1,1,0,0
1,1964,0,,15,16
0,1967,0,10,0,7
1,1967,0,10,0,7
0,1946,0,10,0,0
1,1944,0,10,0,0
1,1981,1,6,0,20
0,1944,0,10,0,0
1,1968,1,7,0,5
1,1970,1,3,0,0
0,1973,1,1,0,0
0,1990,0,2,0,0
1,1990,1,2,0,0
0,1962,0,10,0,0
1,1963,0,10,0,0
0,1968,0,10,0,11
1,1969,0,10,0,20
1,1943,0,10,0,0
1,1973,1,6,0,30
0,1963,0,10,0,15
1,1966,0,10,0,30
0,1987,1,6,0,15
1,1985,0,6,0,15
0,1974,0,3,35,55
1,1983,1,3,25,65
0,1984,0,4,16,70
1,1989,1,2,21,70
0,1958,1,2,0,0
1,1977,0,10,0,20
0,1992,0,7,0,18
1,1990,0,7,0,20
1,1976,1,6,43,36
1,1971,0,10,10,35
1,1982,0,10,0,18
1,1943,0,,0,0
0,1978,0,10,23,91
1,1976,0,10,20,75
0,1986,1,1,0,0
1,1983,1,1,0,0
0,1951,0,10,0,0
1,1954,1,9,0,0
1,1977,0,,0,0
0,1947,0,10,0,0
1,1976,0,,0,0
1,1986,0,10,0,0
0,1975,0,10,0,0
0,1974,1,1,22,40
1,1977,0,10,33,24
0,1960,1,8,0,0
1,1980,0,10,0,34
0,1969,1,4,0,0
1,1971,0,10,22,17
0,1970,0,10,42,37
1,1975,0,10,42,37
0,1983,0,10,0,15
1,1980,0,10,0,20
0,1961,0,10,0,0
1,1963,0,10,0,0
1,1966,1,3,0,0
0,1961,0,10,0,0
1,1997,0,2,0,0
1,1982,0,5,0,5
1,1979,1,2,0,0
0,1993,0,5,32,27
1,1992,0,5,35,35
0,1962,0,10,0,14
1,1964,0,10,0,14
1,1995,0,2,0,0
1,1987,1,7,0,5
1,1955,0,10,0,0
0,1945,0,10,0,0
0,1973,0,10,24,40
0,1976,0,10,25,20
0,1982,0,10,20,20
1,1967,1,4,0,15
0,1975,0,10,34,23
1,1979,0,10,0,40
1,1949,0,10,0,0
0,1962,0,10,0,0
1,1955,0,10,0,0
1,1938,0,10,0,0
0,1938,1,4,0,0
1,1967,0,10,0,0
1,1970,1,3,0,0
0,1973,0,10,6,21
1,1984,0,10,7,43
0,1969,0,10,0,0
1,1967,0,10,0,1
0,1974,0,10,0,0
1,1979,1,5,0,0
1,1989,1,1,0,0
0,1983,1,1,0,0
0,1970,0,10,0,0
1,1978,0,10,0,0
1,1942,0,,0,0
1,1953,0,10,0,0
0,1987,0,10,0,12
1,1947,1,10,0,0
0,1970,0,10,22,15
1,1963,1,3,0,15
1,1989,1,4,0,15
1,1977,0,,0,0
0,1970,1,4,0,22
1,1975,0,10,0,20
1,1976,0,10,0,0
0,1972,0,8,0,0
1,1975,1,3,0,0
0,1951,0,10,0,0
1,1955,0,10,0,0
0,1957,0,10,0,0
1,1956,0,10,0,0
0,1977,0,10,15,20
1,1979,0,10,15,30
1,1986,1,8,30,26
0,1977,1,2,0,8
1,1983,1,5,0,0
0,1988,1,2,0,0
1,1986,0,7,15,20
0,1987,0,10,0,5
1,1988,0,9,0,15
1,1980,0,10,0,11
0,1967,0,10,101,64
0,1959,0,10,0,0
1,1986,0,5,0,0
1,1975,1,2,0,0
0,1977,0,10,0,11
1,1975,0,10,0,18
1,1984,0,10,0,15
0,1986,1,8,0,13
1,1985,1,2,0,16
0,1982,0,10,11,31
1,1982,0,10,20,43
0,1967,0,10,0,0
1,1970,1,7,0,0
0,1976,1,6,0,31
0,1971,0,7,21,21
1,1975,1,6,0,15
1,1988,1,5,0,0
1,1963,0,10,0,0
0,1965,0,10,0,7
1,1969,0,10,0,7
1,1982,0,10,NA,NA
0,1982,0,10,12,26
1,1979,0,10,12,32
0,1973,0,10,0,15
1,1973,1,2,0,0
0,1983,0,8,25,47
1,1988,0,8,0,0
0,1969,0,10,0,10
1,1970,0,10,0,10
1,1989,0,2,23,30
0,1962,0,10,27,36
1,1967,0,10,9,22
0,1981,1,6,0,13
0,1991,0,2,23,30
1,1989,0,2,26,45
0,1977,1,6,0,7
1,1976,1,4,0,45
0,1957,0,10,13,12
1,1965,1,2,0,0
0,1970,0,10,0,5
1,1971,0,10,0,15
0,1964,0,10,0,15
1,1972,0,10,0,15
1,1983,0,10,52,70
0,1988,1,1,0,0
1,1987,0,10,0,13
0,1981,0,10,26,27
1,1979,0,10,31,53
0,1976,0,10,32,42
1,1979,0,10,0,0
1,1983,1,3,NA,NA
1,1963,1,2,0,0
1,1988,1,6,0,0
0,1972,1,1,0,0
1,1975,0,10,0,16
0,1964,0,10,24,32
1,1969,0,10,31,14
1,1989,0,4,0,14
0,1977,0,10,9,0
1,1978,1,4,0,0
1,1980,1,2,0,0
1,1985,1,2,0,0
1,1956,1,4,0,0
0,1979,1,2,0,0
1,1973,0,7,17,0
0,1945,0,10,0,0
0,1972,0,10,27,18
1,1978,0,10,15,19
0,1967,0,10,18,12
1,1972,0,10,18,12
0,1988,0,8,0,30
1,1988,0,7,0,32
0,1978,0,10,16,14
1,1979,0,10,26,21
0,1990,0,3,26,39
1,1994,1,1,0,0
0,1977,0,10,0,22
1,1972,0,10,0,16
0,1981,0,10,0,10
1,1981,0,10,0,13
0,1970,1,9,35,75
0,1982,0,10,0,23
1,1981,0,10,0,23
1,1968,0,,0,0
1,1971,1,2,0,0
0,1971,1,1,0,0
0,1977,0,10,0,15
1,1984,0,10,0,15
1,1981,0,10,0,0
0,1988,0,10,0,16
1,1966,0,10,6,20
1,1988,0,10,0,19
0,1974,0,10,11,0
1,1972,0,10,10,0
1,1955,0,,0,0
0,1978,0,10,0,10
1,1976,0,10,0,8
0,1977,0,10,0,55
1,1978,1,4,0,17
1,1976,0,10,0,13
1,1980,1,2,0,0
0,1966,1,2,0,0
1,1968,0,10,13,18
1,1965,0,10,0,0
0,1984,1,5,58,0
1,1992,0,6,62,16
0,1981,0,10,40,44
1,1965,0,,0,0
0,1994,0,2,0,0
1,1994,0,2,0,0
0,1987,0,9,0,0
1,1986,1,3,0,0
1,1954,0,10,0,0
0,1970,0,8,0,24
1,1977,1,4,0,0
1,1984,0,10,8,43
0,1976,0,10,0,7
1,1970,0,10,0,7
1,1962,0,10,0,0
0,1983,0,2,21,17
1,1970,1,8,0,0
1,1991,1,1,0,0
1,1942,0,,0,0
1,1995,0,2,18,45
0,1965,0,10,0,0
0,1943,0,10,0,0
0,1981,0,,0,0
1,1981,0,10,5,26
1,1972,0,10,18,8
0,1992,0,1,0,0
0,1992,1,4,0,0
1,1954,0,10,0,0
0,1982,0,10,7,11
1,1979,0,10,10,10
0,1981,0,10,39,30
1,1979,0,10,39,30
0,1983,0,10,0,33
1,1984,1,2,63,37
0,1994,0,,0,0
1,1988,0,4,0,0
0,1969,0,10,0,0
1,1977,0,10,0,0
1,1971,0,,0,0
1,1996,0,4,0,0
0,1980,0,10,25,25
1,1981,0,10,50,30
0,1982,0,10,0,18
1,1986,0,10,0,11
0,1985,0,10,4,3
1,1987,0,10,0,0
0,1982,0,10,0,19
1,1982,0,10,0,0
0,1975,1,5,0,0
1,1984,1,1,0,21
0,1991,0,,0,0
1,1964,0,,0,0
0,1996,0,,0,0
1,1969,1,6,0,0
0,1986,0,10,24,8
1,1988,0,10,0,0
0,1983,0,5,0,5
1,1988,0,5,0,0
1,1970,0,10,13,34
0,1975,0,10,34,31
1,1976,1,2,0,0
1,1995,0,4,0,0
0,1995,0,,0,0
0,1987,0,10,0,0
1,1987,1,1,0,0
0,1978,0,10,0,0
1,1979,0,10,0,0
0,1970,0,10,10,0
1,1969,0,10,0,0
0,1986,0,6,0,5
1,1991,0,2,0,5
0,1949,0,10,0,0
1,1947,0,10,0,0
0,1978,0,6,0,13
1,1988,0,6,0,13
0,1974,0,10,12,16
1,1974,0,10,12,16
0,1987,1,2,0,0
1,1981,1,2,0,0
0,1983,0,6,0,0
1,1983,0,6,0,5
0,1969,0,10,15,15
1,1971,0,10,30,38
0,1969,1,4,0,20
0,1970,0,10,0,20
1,1971,0,10,0,27
1,1970,1,4,0,0
1,1992,0,6,0,0
0,1971,0,10,48,30
1,1979,0,10,0,0
0,1957,0,,0,0
1,1990,0,5,0,0
1,1983,1,6,0,0
1,1967,0,10,0,6
0,1975,0,,0,0
1,1983,1,1,0,0
0,1985,0,10,9,10
1,1984,0,10,9,10
0,1968,0,,0,0
1,1960,0,7,0,0
0,1962,0,10,0,12
1,1966,0,10,0,12
0,1986,0,10,0,0
1,1987,0,10,0,0
0,1967,0,10,40,30
1,1977,0,10,27,20
1,1987,0,8,65,45
1,1992,0,3,0,39
0,1979,0,10,16,31
1,1979,0,10,16,31
0,1981,1,2,0,0
1,1986,1,2,7,8
1,1991,1,2,0,0
1,1980,1,8,47,71
0,1989,0,9,26,29
1,1988,0,9,0,44
0,1979,0,10,0,3
1,1974,0,10,0,0
0,1966,0,10,6,2
1,1966,0,10,6,2
0,1971,0,10,0,26
1,1973,0,10,0,28
0,1970,0,10,0,22
1,1971,0,10,0,0
0,1963,1,2,0,0
1,1970,0,10,28,24
0,1963,0,,0,0
1,1966,0,10,0,12
0,1977,0,10,0,20
0,1974,0,10,0,0
1,1977,0,,0,0
0,1982,0,10,0,78
1,1978,0,10,0,0
1,1952,0,,0,0
0,1944,0,10,0,0
1,1942,0,10,0,0
0,1982,1,6,18,18
1,1991,0,10,0,0
0,1971,0,1,6,7
1,1991,0,1,0,0
0,1975,1,3,0,0
1,1976,1,10,0,10
0,1985,0,10,28,23
1,1987,0,10,0,0
0,1970,0,10,0,0
1,1974,0,10,0,10
1,1967,1,10,33,20
0,1982,0,10,0,10
1,1983,0,10,0,0
0,1931,0,,0,0
1,1952,0,10,0,0
0,1985,1,1,0,0
1,1990,0,9,29,46
0,1979,1,4,0,0
1,1987,0,4,0,8
0,1964,0,10,0,0
1,1967,0,10,0,0
0,1994,0,3,5,0
1,1966,0,10,31,29
0,1975,0,10,37,28
1,1976,0,10,40,28
0,1991,0,5,21,18
1,1989,1,2,0,0
0,1968,0,10,0,21
1,1969,0,10,0,26
0,1979,0,10,0,23
1,1984,0,,0,0
0,1986,0,7,35,28
1,1991,0,7,0,0
0,1962,0,10,0,11
1,1966,0,10,0,0
0,1995,0,2,0,0
1,1995,0,2,0,0
0,1935,0,,0,0
1,1971,0,10,25,20
0,1981,0,10,15,15
1,1985,0,10,26,36
0,1962,0,10,0,16
1,1966,0,10,0,19
0,1984,1,3,0,11
1,1993,0,5,0,13
0,1963,0,10,51,40
1,1961,0,10,0,0
0,1989,0,6,21,31
1,1990,0,6,11,26
0,1951,0,10,0,0
1,1956,0,10,0,0
0,1953,0,10,0,0
1,1953,0,10,0,0
0,1941,0,10,0,0
1,1951,0,10,0,0
0,1968,0,,0,0
1,1981,0,10,0,0
0,1956,0,10,0,0
1,1972,0,10,0,0
0,1971,0,10,0,21
1,1974,0,10,0,0
1,1984,0,10,0,0
0,1974,0,10,0,15
1,1975,0,10,0,19
0,1976,0,10,0,5
0,1953,0,10,0,0
1,1961,0,10,0,0
0,1974,0,10,3,10
1,1973,1,4,19,19
1,1973,1,2,0,0
0,1968,0,,0,0
0,1989,0,2,0,9
1,1986,0,2,0,0
0,1971,0,,0,0
1,1969,0,10,0,20
0,1982,0,8,0,10
1,1986,0,6,0,18
0,1956,1,3,0,0
1,1968,0,10,0,0
0,1985,0,10,0,14
1,1985,0,10,0,8
0,1947,0,10,0,0
1,1970,0,10,0,10
0,1945,0,10,0,0
0,1986,0,10,0,0
1,1987,0,10,53,20
