sex,Birth,event10,years,Nbridewealth,Ndowry
1,1942,0,10,0,0
0,1991,0,9,0,0
1,1989,0,8,0,0
0,1971,0,2,0,0
1,1975,0,9,0,0
0,1967,0,8,0,0
1,1931,0,10,0,0
1,1962,1,10,0,2
0,1965,0,2,10,0
1,1955,1,10,0,1
0,1988,0,2,0,30
1,1989,0,10,0,30
0,1984,0,3,42,26
1,1990,0,10,44,35
0,1969,0,4,0,22
0,1982,0,9,40,27
1,1985,0,10,28,22
0,1955,1,10,0,0
1,1984,0,2,0,0
0,1983,1,1,0,0
1,1984,1,4,16,20
0,1977,1,10,20,20
1,1982,0,10,40,20
0,1970,0,10,0,0
1,1969,0,10,0,0
1,1991,1,10,0,0
1,1948,0,10,0,0
0,1987,1,10,0,0
0,1961,0,10,0,0
0,1947,0,10,0,0
1,1945,0,10,0,0
0,1953,1,10,0,0
1,1960,0,10,0,0
1,1994,0,3,0,0
0,1978,1,10,0,0
0,1967,0,10,7,11
0,1973,0,3,50,12
0,1984,1,10,0,0
1,1986,1,10,0,0
0,1947,1,4,0,0
1,1958,0,8,0,0
0,1970,0,10,37,20
1,1970,0,10,31,12
0,1974,0,10,0,20
1,1979,0,10,0,0
0,1963,0,10,0,5
1,1965,0,4,0,5
0,1969,0,8,0,0
1,1970,0,8,0,0
0,1978,0,9,0,0
1,1975,0,9,0,0
0,1952,0,10,0,0
1,1953,0,10,0,0
0,1973,1,7,0,0
0,1971,0,8,37,14
1,1974,0,8,0,30
0,1985,1,10,0,0
1,1984,0,10,0,14
0,1987,0,10,27,22
1,1982,1,10,0,0
0,1967,1,10,0,0
1,1970,0,2,0,0
0,1947,0,10,0,0
1,1949,0,10,0,0
0,1977,0,3,11,12
1,1981,0,8,27,16
0,1988,0,10,0,0
1,1995,0,10,0,0
0,1983,0,10,0,0
1,1989,0,4,0,0
0,1988,0,10,18,27
1,1985,0,10,18,27
0,1973,0,3,29,0
0,1982,0,10,0,15
1,1950,0,10,0,2
0,1986,0,2,0,0
1,1990,0,10,0,30
0,1988,0,10,53,40
1,1978,0,10,35,36
0,1976,0,10,11,50
1,1955,0,10,11,50
0,1957,0,10,0,1
1,1970,0,5,0,1
0,1966,0,5,16,16
1,1953,1,10,0,0
0,1982,0,5,5,0
1,1951,0,1,0,0
1,1978,1,3,0,0
1,1963,1,2,0,20
0,1963,0,2,0,0
1,1966,0,8,0,0
