Bird ID,Expl. Nov. Envir.,Expl. Fam. Envir.,Obj. Neo. 1 (s),Food Neo. (s),Obj. Neo. 2 (s),Obj. Neo. 3 (s),Sociability 1,Sociability 2,Baseline Cort. (ng/ml),Stress-Ind. Cort. (ng/ml),Lat. Eat Disc. Dev. 1 (s),Lat. Eat Disc. Dev. 2 (s),Lat. Eat PS Dev. 1 (Soc.) (s),Lat. Eat PS Dev. 2 (Soc.) (s),Lat. Eat SM Dev. 1 (Soc.) (s),Lat. Eat SM Dev. 2 (Soc.) (s),Lat. Eat PS Dev. 1 (Ind.) (s),Lat. Eat PS Dev. 2 (Ind.) (s),Lat. Eat SM Dev. 1 (Ind.) (s),Lat. Eat SM Dev. 2 (Ind.) (s),# Trials to eat PS Dev. ,Prop. Succ. Trials PS 1,Prop. Succ. Trials PS 2,Prop. Succ. Trials PS 3,PS Score,Disc. Eff. 1 (%),Disc. Eff. 2 (%),Disc. Eff. 3 (%),Disc. Eff. 4 (%),Disc. Eff. 5 (%),# Trials to reach Max. Disc. Eff.,Max. Disc. Eff.  (%),Max. Disc. Improv. (%),DR Score,# Trials to reach detour,# Err. SM 1,# Err. SM 2,# Err. SM 3,# Err. SM 4,# Err. SM 5,Av. # Err. SM,Resp. PS Task,Resp. Seed Disc. Task,Resp. DR Task,Resp. SM Task,Age soc. Hab (months),Age Ind. Hab. PS Dev. (months),Age PS Task (months),Age Seed Disc. Task (months),Age Ind. Hab. SM Dev. (months),Age SM Task (months),Age DR Task (months)
143,0.916666667,0.75,226,2,0,0,,1.145643924,16.63412,14.03168,0,1,69,1200,38,28,273,1200,189,3,1,0,0,0,1.375,11.73913043,50.58823529,31.06060606,27.84090909,35.53719008,2,50.5882353,38.84910486,0.7,1,0,0,1,0,0,0.2,RESP,RESP,RESP,RESP,7,7,8,8,10,16,11
144,0.083333333,0.083333333,1200,1200,600,1200,0.1,0.141421356,,7.3106,600,600,1200,1200,1936,77,1200,1200,2700,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNRESP,UNRESP,NA,5,5,NA,16,16,NA,16
146,0.916666667,1,399,0,0,0,0.75359222,0.509175077,0.03564,9.80508,21,3,0,1200,0,0,312,1200,965,2700,1,0.75,0,0,4.625,13.60759494,20.3125,0,29.8013245,42.85714286,5,42.8571429,29.24954792,0.8,2,NA,NA,NA,NA,NA,NA,RESP,RESP,RESP,NA,7,7,8,8,13,NA,13
147,0.333333333,0.5,1200,1200,41,270,0,0.244948974,0.6494,18.49536,1,36,506,54,44,2700,1200,1200,2700,2700,3,0,0.125,0,1.875,42.10526316,62.26415094,71.42857143,46.93877551,55.55555556,3,71.42857143,13.4502924,0.8,2,4,NA,NA,NA,NA,4,RESP,RESP,RESP,RESP,3,3,4,18,16,16,18
148,0.166666667,0.166666667,26,1200,NA,NA,NA,NA,NA,NA,NA,NA,43,9,NA,NA,1200,1200,NA,NA,4,0,0,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNRESP,NA,NA,NA,4,5,5,NA,NA,NA,NA
149,0.25,1,1,0,0,49,0.489897949,0.1,2.15632,8.6658,0,0,15,709,0,0,0,69,77,10,1,0.25,1,0,4.6875,50,47.52475248,61.33333333,74.07407407,53.08641975,4,74.0740741,24.07407407,0.7,2,2,3,2,1,3,2.2,RESP,RESP,RESP,RESP,6,6,6,8,16,16,8
150,1,1,1200,289,15,556,0.141421356,0.663324958,6.673,11.10868,600,589,31,40,0,1884,320,159,1614.153846,2700,1,0,0,0,0,28.88888889,41.37931034,66.66666667,41.66666667,83.33333333,3,66.6666667,37.77777778,0.6,1,NA,NA,NA,NA,NA,NA,UNRESP,RESP,RESP,RESP,7,7,7,16,16,16,16
151,0.083333333,0.25,18,176,243,32,0,0.173205081,3.81168,25.65316,18,37,48,77,51,77,47,70,45,52,1,0,0,0,0.625,39.75903614,28.57142857,31.08108108,37.09677419,53.16455696,5,53.164557,13.40552082,0.6,1,1,2,0,3,2,1.6,RESP,RESP,RESP,RESP,3,3,4,13,13,13,13
152,0.166666667,0.166666667,1200,1200,600,1200,0,0.360555128,4.4904,7.62268,600,600,1200,1200,2700,2700,1200,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNRESP,UNRESP,NA,6,6,NA,14,13,NA,14
153,0.25,1,1200,1200,600,1200,0.734846923,1.166190379,3.57528,11.22684,600,600,1200,1200,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,0,NA,NA,1,NA,0.5,NA,UNRESP,UNRESP,RESP,7,,NA,14,13,13,14
155,0.166666667,0.083333333,18,200,600,30,,0.433012702,4.75924,13.58856,600,600,485,39,165,854,113,1200,2700,2700,2,0,0,0,0,NA,NA,NA,NA,NA,NA,,NA,0.6,1,NA,NA,NA,NA,NA,NA,UNRESP,UNRESP,RESP,NA,3,3,4,13,13,,13
156,1,0.083333333,359,1200,253,632,,0.661437828,2.67376,11.05128,97,82,586,280,1173,43,1200,1200,1992,40,4,0,0,0,0.375,42.85714286,78.57142857,46.66666667,75,63.15789474,2,78.5714286,35.71428571,0.7,2,NA,NA,NA,NA,NA,NA,RESP,RESP,RESP,RESP,3,3,4,12,10,11,12
157,0.083333333,1,0,0,1,0,0.519615242,0.1,NA,18.2012,0,321.5789474,19,45,0,0,1,753.025641,0,0,1,1,1,1,18,25.90673575,25,18.58736059,23.36448598,18.35205993,1,25.9067358,-0.906735751,1,1,5,9,0,0,0,2.8,RESP,RESP,RESP,RESP,6,6,6,13,13,13,13
158,0.333333333,1,115,36,69,94,0.866025404,1.549193338,3.462,7.956,600,69,1200,187,8,0,43,1200,2700,328,1,0,0,0,0.9375,20.86956522,28.38709677,29.05405405,29.74683544,36.84210526,5,36.8421053,15.97254005,0.6,1,NA,NA,3,NA,1,2,RESP,RESP,RESP,RESP,6,6,7,13,12,12,12
159,1,0.833333333,1200,1200,180,1200,0.4,0.1,4.58964,19.2248,600,600,85,81,56,9,1200,1200,2700,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNRESP,UNRESP,NA,7,7,NA,8,15,NA,8
160,0.916666667,0.083333333,108,20,600,1200,1.140175425,0.4,4.2312,5.58948,600,600,13,15,357.45,35,2,7,2700,2700,1,0,0,0,0.1875,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,RESP,UNRESP,UNRESP,NA,4,5,5,16,15,NA,16
161,0.083333333,1,226,1200,55,50,,1.280868846,3.92576,4.51164,2,3,1200,1060,24,37,876,1200,821,88,1,0,0,0,0,20,20,60,40,57.14285714,3,60,40,0.8,1,8,0,0,0,NA,2,UNRESP,RESP,RESP,RESP,7,7,8,8,10,16,9
