ZONE_NUMBER,ZONE_NAME,METER_ID,METER_STATION,METER_TYPE,METER_MODEL,OPERATION_HOURS,OPERATION_DAYS,HOURLY_RATE,DAILY_RATE,MAXIMUM_HOURS,MONTHLY_UNRESERVED_RATE,MONTHLY_RESERVED_RATE,PAY_BY_PHONE,OWNER,ON_OFF_STREET,ZONE_TYPE,NUMBER_SPACES,ADDRESS,PAYMENT_METHODS,COMMENTS,Latitude,Longitude
15,New City Hall Parkade,#219,520014230466,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,6:00 AM to 12:00 AM,7 Days/Week,1.5,$7.00,All Day,,$130.00,5009,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Credit Card/PayByPhone,,49.190891,-122.848731
15,New City Hall Parkade,#214,500013501589,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,6:00 AM to 12:00 AM,7 Days/Week,1.5,$7.00,All Day,,$130.00,5009,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Cash/Credit Card/PayByPhone,,49.190891,-122.848731
15,New City Hall Parkade,#220,520014230462,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,6:00 AM to 12:00 AM,7 Days/Week,1.5,$7.00,All Day,,$130.00,5009,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Cash/Credit Card/PayByPhone,,49.190891,-122.848731
15,New City Hall Parkade,#221,520014230463,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,6:00 AM to 12:00 AM,7 Days/Week,1.5,$7.00,All Day,,$130.00,5009,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Credit Card/PayByPhone,,49.190891,-122.848731
15,New City Hall Parkade,#222,520014230461,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,6:00 AM to 12:00 AM,7 Days/Week,1.5,$7.00,All Day,,$130.00,5009,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Cash/Credit Card/PayByPhone,,49.190891,-122.848731
15,New City Hall Parkade,#223,520014230460,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,6:00 AM to 12:00 AM,7 Days/Week,1.5,$7.00,All Day,,$130.00,5009,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Credit Card/PayByPhone,,49.190891,-122.848731
20,North Surrey Recreation Centre,#211,520014451708,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,24 Hours,7 Days/Week,1.5,$7.00,All Day,,,5012,Surrey,Off,Surface Paved Off-Street,31,10225 City Parkway,Credit Card/PayByPhone,,49.188537,-122.848119
19,SFU South,#203,500013271026,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,24 Hours,7 Days/Week,0.75,$5.00,All Day,$100.00,,5015,Surrey,Off,Surface Paved Off-Street,45,10290 University Dr10290 University Dr10290 University Drive,Credit Card/PayByPhone,,49.188455,-122.850472
21,Surrey Nature Centre,,,,,24 Hours,7 Days/Week,0,,,$90.00,,,Surrey,Off,Surface Gravel Off-Street,30,14225 Green Timbers Way,Credit Card/PAP/Invoice,Monthly Parking Only,49.178363,-122.828198
28,13583 104 Avenue,#056,500013501583,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,24 Hours,7 Days/Week,1,$10.00,All Day,,,5018,Surrey,Off,Surface Paved Off-Street,125,13583 104 Avenue,Credit Card/PayByPhone,,49.192061,-122.846673
