ZONE_NUMBER,ZONE_NAME,METER_ID,METER_STATION,METER_TYPE,METER_MODEL,OPERATION_HOURS,OPERATION_DAYS,HOURLY_RATE,DAILY_RATE,MAXIMUM_HOURS,MONTHLY_UNRESERVED_RATE,MONTHLY_RESERVED_RATE,PAY_BY_PHONE,OWNER,ON_OFF_STREET,ZONE_TYPE,NUMBER_SPACES,ADDRESS,PAYMENT_METHODS,COMMENTS,Latitude,Longitude
26,Guildford Centre On-Street,#029,14755,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 5:00 PM,Mon - Fri,1.75,,,,,4359,Surrey,On,On-Street Parking,61,15353 105 Avenue,Cash/Credit Card/PayByPhone,,49.193419,-122.796053
5,17 Avenue,#019,14521,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 8:00 PM,7 Days/Week,1,,2,,,4304,Surrey,On,On-Street Parking,12,1688 17 Ave,Cash/Credit Card/PayByPhone,,49.032889,-122.80062
3,Hospital South,#049,14775,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,1.75,,2,,,4296,Surrey,On,On-Street Parking,42,13665 138 St,Cash/Credit Card/PayByPhone,,49.176123,-122.840088
8,Hospital North,#041,14767,Paystation,SIEMENS SITRAFFIC PRISMA,6:00 AM to 8:00 PM,7 Days/Week,1.25,$5.00,All Day,,,4309,Surrey,On,On-Street Parking,76,9666 King George Blvd,Cash/Credit Card/PayByPhone,,49.178773,-122.844177
8,Hospital North,#046,14772,Paystation,SIEMENS SITRAFFIC PRISMA,6:00 AM to 8:00 PM,7 Days/Week,1.25,$5.00,All Day,,,4309,Surrey,On,On-Street Parking,76,9688 137A St,Cash/Credit Card/PayByPhone,,49.178276,-122.841933
8,Hospital North,#054,14184,Paystation,SIEMENS SITRAFFIC PRISMA,6:00 AM to 8:00 PM,7 Days/Week,1.25,$5.00,All Day,,,4309,Surrey,On,On-Street Parking,76,9650 137A St,Cash/Credit Card/PayByPhone,,49.177939,-122.841006
8,Hospital North,#040,14766,Paystation,SIEMENS SITRAFFIC PRISMA,6:00 AM to 8:00 PM,7 Days/Week,1.25,$5.00,All Day,,,4309,Surrey,On,On-Street Parking,76,9711 137 St,Cash/Credit Card/PayByPhone,,49.179199,-122.843456
8,Hospital North,#052,14183,Paystation,SIEMENS SITRAFFIC PRISMA,6:00 AM to 8:00 PM,7 Days/Week,1.25,$5.00,All Day,,,4309,Surrey,On,On-Street Parking,76,9639 137A St,Cash/Credit Card/PayByPhone,,49.178109,-122.842142
8,Hospital North,#050,14179,Paystation,SIEMENS SITRAFFIC PRISMA,6:00 AM to 8:00 PM,7 Days/Week,1.25,$5.00,All Day,,,4309,Surrey,On,On-Street Parking,76,9645 137 St,Cash/Credit Card/PayByPhone,,49.177859,-122.84344
8,Hospital North,#051,14182,Paystation,SIEMENS SITRAFFIC PRISMA,6:00 AM to 8:00 PM,7 Days/Week,1.25,$5.00,All Day,,,4309,Surrey,On,On-Street Parking,76,9639 137A St,Cash/Credit Card/PayByPhone,,49.17815,-122.843202
8,Hospital North,#048,14774,Paystation,SIEMENS SITRAFFIC PRISMA,6:00 AM to 8:00 PM,7 Days/Week,1.25,$5.00,All Day,,,4309,Surrey,On,On-Street Parking,76,9650 137A St,Cash/Credit Card/PayByPhone,,49.177748,-122.841987
8,Hospital North,#039,14765,Paystation,SIEMENS SITRAFFIC PRISMA,6:00 AM to 8:00 PM,7 Days/Week,1.25,$5.00,All Day,,,4309,Surrey,On,On-Street Parking,76,9770 King George Blvd,Cash/Credit Card/PayByPhone,,49.179303,-122.845253
8,Hospital North,#042,14768,Paystation,SIEMENS SITRAFFIC PRISMA,6:00 AM to 8:00 PM,7 Days/Week,1.25,$5.00,All Day,,,4309,Surrey,On,On-Street Parking,76,9677 137 St,Cash/Credit Card/PayByPhone,,49.178358,-122.844021
8,Hospital North,#053,14185,Paystation,SIEMENS SITRAFFIC PRISMA,6:00 AM to 8:00 PM,7 Days/Week,1.25,$5.00,All Day,,,4309,Surrey,On,On-Street Parking,76,13737 96 Ave,Cash/Credit Card/PayByPhone,,49.177602,-122.842192
6,Marine Drive,#020,14522,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,1.5,,6,,,4294,Surrey,On,On-Street Parking,53,15638 8 Ave,Cash/Credit Card/PayByPhone,,49.016517,-122.789434
6,Marine Drive,#023,14525,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,1.5,,6,,,4294,Surrey,On,On-Street Parking,53,15638 8 Ave,Cash/Credit Card/PayByPhone,,49.016506,-122.783588
6,Marine Drive,#021,14523,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,1.5,,6,,,4294,Surrey,On,On-Street Parking,53,15638 8 Ave,Cash/Credit Card/PayByPhone,,49.016508,-122.788089
6,Marine Drive,#022,14524,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,1.5,,6,,,4294,Surrey,On,On-Street Parking,53,15638 8 Ave,Cash/Credit Card/PayByPhone,,49.016507,-122.786942
6,Marine Drive,#025,14527,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,1.5,,6,,,4294,Surrey,On,On-Street Parking,53,15638 8 Ave,Cash/Credit Card/PayByPhone,,49.016504,-122.780128
4,Gateway South,#014,14516,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4303,Surrey,On,On-Street Parking,62,13456 108 Ave,Cash/Credit Card/PayByPhone,,49.198468,-122.848908
