Age,Gender,Education,Religion,Political,Pregnant,Mean_general_ds
25,0,14,0,2,1,2.260869565
28,1,12,0,1,1,2.956521739
32,1,24,0,0,1,1.565217391
46,1,12,0,0,1,2.173913043
32,0,17,0,2,1,1.652173913
37,1,15,0,2,1,1
55,0,12,1,1,1,1.739130435
38,1,12,0,0,1,2.217391304
58,0,12,1,0,1,1.608695652
37,0,17,0,2,1,3.304347826
48,1,15,0,2,1,2.173913043
25,0,15,1,0,1,2.565217391
28,1,12,1,0,1,2.217391304
24,1,12,2,0,1,2.173913043
32,0,12,0,1,1,2.913043478
55,0,12,0,2,1,2.608695652
22,0,12,0,1,1,2.913043478
25,1,15,2,0,1,2.304347826
24,0,15,0,2,1,2.347826087
23,0,12,1,1,1,2.956521739
24,1,14,2,0,1,1.869565217
23,0,15,1.5,1,1,3.086956522
28,1,14,0,1,1,2.739130435
62,0,15,0,2,1,3.130434783
19,1,12,1,0,1,2.434782609
37,1,16,0,1,1,1.739130435
41,0,18,0,2,1,3.217391304
38,1,22,0,2,1,1.391304348
26,1,12,1,0,1,2.304347826
24,0,15,0,1,1,1.913043478
30,0,15,0,2,1,2.739130435
26,0,16,0,2,1,2.739130435
23,0,13,0,2,1,2.304347826
33,0,17,0,0,1,2.695652174
25,1,12,2,0,1,1.608695652
32,0,17,0,0,1,2.47826087
22,0,13,0,2,1,2.717391304
24,0,15,2,0,1,2.304347826
48,1,15,0,2,1,2.173913043
20,0,12,0,1,1,2.956521739
18,1,12,2,0,1,2.695652174
31,1,15,0,2,1,1.434782609
69,1,14,0,1,1,2.347826087
31,1,15,1,0,1,2.52173913
28,1,15,0,1,1,1.608695652
38,0,15,0,1,1,2.652173913
19,0,12,1,0,1,2.739130435
19,0,12,2,0,1,3.304347826
49,1,15,1,1,1,1.043478261
30,1,16,0,1,1,2.086956522
59,1,15,2,0,1,2.434782609
34,0,17,0,2,1,2.260869565
31,0,15,0,1,1,3.826086957
43,1,15,2,0,1,1.565217391
50,0,23,1,0,1,1.217391304
29,0,17,0,1,1,2.304347826
25,1,15,0,1,1,2.913043478
34,1,15,0,0,1,2.217391304
28,1,15,0,2,1,0.565217391
30,0,15,1,1,1,2.260869565
31,0,15,0,2,1,2.826086957
22,1,15,0,1,1,1.173913043
26,0,17,0,0,1,2.52173913
39,0,15,0,2,1,1.956521739
20,0,12,0,2,1,2.260869565
45,0,17,0,2,1,2.304347826
47,0,15,0,2,1,3.391304348
16,0,11,2,0,1,2.652173913
24,1,12,0,1,1,2.260869565
21,1,12,0,0,1,2.130434783
33,0,15.5,0,1,1,2.565217391
27,0,15,0,1,1,2
20,0,12,2,0,1,2.347826087
26,0,18,0,1,1,2.869565217
22,0,12,0,2,1,2.869565217
33,0,12,0,1,1,2.173913043
48,0,18,1,1,1,3.043478261
31,1,15,0,2,1,2.739130435
23,1,12,1,0,1,1.434782609
32,1,13,0,1,1,3.173913043
29,0,12,0,1,1,1.47826087
34,0,15,0,2,1,2.608695652
29,0,15,1,0,1,1.565217391
26,1,12,0,1,1,0.956521739
22,1,13,0,1,1,2.391304348
21,0,12,0,0,1,1.652173913
23,1,12,0,0,1,2.565217391
22,0,12,0,2,1,1.608695652
60,1,13,0,0,1,2.217391304
25,1,15,0,1,1,1.695652174
28,0,17,0,2,1,1.826086957
22,0,12,0,1,1,2.652173913
32,1,15,2,0,1,1.217391304
30,0,15,1,0,1,5.217391304
34,0,18,0,2,1,2.347826087
64,0,12,0,0,1,2
24,1,14,1,0,1,2.217391304
25,0,15,0,2,1,2.826086957
20,0,13,2,0,1,2.260869565
38,0,19,0,2,1,2.52173913
27,0,15,0,2,1,2.652173913
34,1,15,0,2,1,2.347826087
26,1,13,0,1,1,2.565217391
33,1,18,0,2,1,2.260869565
19,0,12,1,2,1,3.217391304
25,0,17,0,0,1,2.739130435
27,0,15,0,2,1,2.869565217
46,1,12,0,2,1,2.043478261
65,0,12,0,2,1,2.260869565
26,0,15,2,0,1,2.47826087
54,0,12,1,2,1,2.913043478
33,0,17,0,2,1,2.782608696
20,0,12,1,0,1,2.695652174
23,0,12,0,0,1,2.47826087
52,0,15,0,2,1,2.043478261
34,0,15,0,1,1,3.043478261
23,1,15,1,0,1,2.347826087
49,1,25,2,1,1,1.260869565
68,1,19,0,2,1,1.434782609
18,0,12,0,0,1,2.739130435
29,0,15,0,2,1,1.826086957
26,0,15,0,1,1,2.043478261
30,1,15,0,2,1,2.086956522
24,0,12,0,1,1,2.826086957
62,1,12,0,1,1,2.739130435
20,1,12,2,0,1,1.434782609
26,1,12,1,0,1,2.391304348
31,0,15,2,0,1,3.217391304
60,0,15,0,2,1,3.043478261
35,1,15,1,1,1,2.47826087
27,1,16,0,2,1,2.608695652
32,0,15,0,2,1,1.826086957
19,0,12,2,0,1,2.173913043
29,0,15,0,1,1,2.695652174
23,1,12,2,0,1,2.217391304
21,0,14,2,0,1,2.652173913
38,1,16,0,1,1,1.347826087
43,0,15,0,1,1,2.782608696
29,1,12,0,2,1,2.347826087
30,0,15,0,2,1,2.695652174
27,1,12,1,0,1,1.434782609
30,1,16,0,2,1,1.826086957
34,0,19,0,2,1,2.304347826
32,1,16,1,1,1,2.826086957
45,0,12,0,2,1,3.347826087
22,0,11,0,0,1,2.086956522
30,1,13,0,0,1,2.260869565
24,0,14,0,0,1,2.608695652
18,0,12,0,2,1,2.434782609
23,1,12,1,1,1,2.782608696
64,1,12,0,2,1,2.47826087
28,1,14,0,2,1,2.086956522
24,0,12,0,0,1,2.347826087
47,0,16,0,1,1,2.260869565
37,0,18,0,1,1,2.434782609
34,1,17,0,0,1,2.130434783
22,1,12,0,2,1,1.782608696
59,0,12,1,2,1,3.608695652
44,1,12,0,1,1,2.086956522
29,1,15,1,1,1,2.47826087
20,1,11,1,0,1,2.608695652
21,0,12,0,1,1,2.173913043
23,0,12,2,0,1,2.565217391
25,1,14,2,0,1,1.391304348
19,0,12,2,0,1,3.260869565
26,0,16,2,0,1,2.652173913
23,0,13.5,0,1,1,2.913043478
35,1,25,0,0,1,1.043478261
19.5,0,12,0,1,1,2.173913043
24,0,15,0,2,1,2.565217391
24,0,12,2,1,1,3.173913043
26,0,14,1,0,1,2.869565217
17,0,11,0,1,1,3.173913043
22,1,12,1,0,1,1.826086957
24,1,14,0,2,1,1.347826087
32,1,15,0,1,1,2.173913043
24,1,12,0,0,1,2.652173913
18.5,1,12,1,0,1,0.652173913
28,0,16,0,2,1,2.869565217
41,0,18,0,2,1,2.826086957
33,1,18,0,1,1,2.347826087
57,1,12,0,2,1,1.913043478
28,0,15,0,2,1,2.739130435
19,0,12,0,0,1,2.695652174
42,1,18,0,1,1,1.782608696
19,0,12,0,1,1,2.739130435
23,1,12,0,0,1,1.739130435
69,1,17,1,2,1,1.956521739
62,1,16,0,2,1,2.434782609
32,1,16,2,0,1,2.434782609
43,1,18,0,0,1,2.652173913
29,1,15,0,1,1,2.304347826
37,1,16,0,2,1,2.043478261
37,0,17,0,0,1,2.869565217
24,0,15,0,0,1,2.130434783
22,0,12,1,0,1,2.173913043
55,0,11,1,0,1,3.260869565
19,1,13.5,0,1,1,2.173913043
31,1,12,0,1,1,2.086956522
40,0,12,1,1,1,1.47826087
28,1,15,1,1,1,2.608695652
34,0,20,0,0,1,2.043478261
23,0,12,0,1,1,3.130434783
34,1,16,0,1,1,1.869565217
21,1,12,0,1,1,3
56,0,14,0,1,1,1.260869565
20,0,12,1,0,1,2.565217391
47,1,15,0,2,1,0.913043478
56,1,12,0,0,1,2.086956522
34,1,17,0,1,1,0.956521739
22,0,12,0,0,1,2.826086957
27.5,0,15,0,0,1,2.565217391
51,1,12,0,2,1,2.130434783
40,0,18,0,1,1,2.217391304
21,1,15,0,2,1,2.52173913
27,1,15,1,0,1,3.130434783
27,0,16,1,0,1,3.434782609
19,1,13,1,0,1,2.869565217
58,1,15,0,2,1,0.47826087
45,1,15,0,1,1,2.652173913
57,1,15,0,1,1,1.043478261
61,1,15,0,0,1,1.086956522
19,1,12,2,0,1,2.608695652
28,0,17,0,0,1,1.739130435
32,1,13,1,0,1,2.826086957
30,1,15,0,0,1,1.782608696
35,0,12,0,2,1,1.52173913
20,1,12,0,0,1,2
35,1,15,1,0,1,2.086956522
31,1,12,0,0,1,2.869565217
35,0,16,0,1,1,2.434782609
28,0,15,0,0,1,1.52173913
37,0,14,0,2,1,2.52173913
40,0,13,0,1,1,2.869565217
45,1,15,0,1,1,2.608695652
30,1,15,0,1,1,1.739130435
40,1,15,1,0,1,2.260869565
62,0,12,0,1,1,2.217391304
34,0,17,0,2,1,3
42,1,12,2,0,1,2.47826087
36,1,12,1,0,1,1.739130435
25,1,12,0,1,1,1.913043478
30,1,18.5,0,1,1,2.652173913
50,0,15,0,2,1,2.956521739
44,1,15,0,2,1,1.565217391
33,0,18,0,0,1,2.217391304
27,0,15,0,1,1,3.304347826
45,1,12,0,0,1,3.434782609
21,0,12,0,1,1,2.869565217
24,0,14,0,1,1,2.913043478
60,1,15,1,0,1,1.260869565
22,0,12,1,0,1,2.652173913
45,0,15,0,2,1,2.826086957
19,1,10,1,0,1,2.652173913
18,1,12,0,1,1,2.043478261
50,0,12,1,0,1,2.52173913
20,1,12,0,0,1,2.52173913
22,0,12,1,0,1,3.086956522
35,1,15,1,1,1,2.956521739
21,1,12,2,0,1,2.652173913
25,0,14,1,0,1,2.608695652
42,0,16,0,0,1,3.130434783
50,1,12,0,2,1,2.173913043
36,0,22,0,2,1,2.043478261
24,0,13.5,0,2,1,2.434782609
28,0,15,0,1,1,1.956521739
22,0,12,0,0,1,2.913043478
26,0,12,0,1,1,2.47826087
42,0,13.5,0,1,1,2.739130435
76,1,15,0,1,1,1.391304348
36,0,12,0,1,1,1.782608696
28,0,15,0,1,1,3
22,1,12,1,0,1,1.391304348
17,1,12,2,0,1,2.260869565
47,0,12,0,2,1,2.173913043
78,0,16,0,1,1,1.826086957
39,0,15,0,2,1,3.173913043
40,1,17,0,2,1,3.347826087
66,0,12,0,1,1,3.391304348
24,0,15,0,1,1,2.130434783
44,1,12,1,0,1,2.130434783
28,0,17,0,0,1,1.608695652
22,1,12,0,2,1,1.565217391
75,1,8,0,1,1,1.434782609
30,0,17,0,2,1,2.47826087
58,0,10,0,2,1,2.52173913
39,1,12,0,1,1,2.782608696
25,1,15,0,2,1,1.608695652
36,1,12,0,0,1,1.739130435
22,0,12,0,1,1,2.391304348
33,0,18,0,2,1,3.086956522
26,0,15,0,2,1,1.913043478
25,0,15,2,1,1,3.260869565
56,1,16,0,1,1,2.173913043
24,0,16,1,1,1,2.913043478
25,1,12,1,0,1,2.391304348
23,1,12,0,0,1,2.391304348
22,0,12,0,2,1,2.52173913
21,1,12,0,2,1,2.52173913
70,1,12,0,2,1,2.826086957
27,0,15,1,1,1,1.826086957
43,0,16,1,1,1,3.043478261
24,1,12,0,1,1,2.347826087
22,0,12,0,1,1,3.52173913
26,1,20,2,1,1,2.652173913
30,1,15,0,2,1,2.173913043
22,0,14,2,0,1,3.086956522
28,1,15,0,0,1,1.608695652
29,1,16,0,1,1,2.956521739
21,0,15,0,2,1,1.956521739
57,0,15,0,1,1,3.217391304
49,0,16,0,2,1,2.47826087
28,0,12,0,2,1,2.695652174
27,1,15,2,0,1,0.608695652
18,1,11,0,1,1,1.608695652
31,0,15,0,1,1,2.913043478
61,1,13,0,2,1,1.173913043
27,1,15,2,0,1,2.47826087
23,1,14,0,1,1,1.826086957
32,1,16,0,1,1,1.565217391
24,1,12,0,1,1,2.434782609
39,0,12,1,0,1,2.565217391
35,0,16,0,0,1,3.173913043
45,0,19,0,1,1,3.260869565
23,0,13,1,1,1,2.652173913
30,0,16,0,1,1,2.260869565
20,1,12,1,0,1,2.565217391
25,0,16,2,0,1,3.347826087
42,0,15,0,0,1,1.913043478
24,0,14,0,1,1,3.347826087
54,0,16,0,2,1,2.304347826
60,1,18,0,0,1,0.695652174
27,0,15,1,0,1,3.043478261
24,1,12,1,0,1,2.173913043
48,0,16,0,2,1,2.347826087
20,0,12,0,0,1,2.956521739
24,1,15,2,1,1,1
22,0,12,2,1,1,1.826086957
46,0,15,0,1,1,2.652173913
26,0,12,2,0,1,2.043478261
35,0,12,0,1,1,2.217391304
47.5,1,17,0,2,1,1.52173913
25,1,12,0,1,1,2
28,0,15,0,2,1,2.173913043
29,1,15,0,0,1,2.173913043
23,0,14,2,0,1,2.782608696
27,0,12,0,2,1,1.565217391
49,0,21,0,2,1,1.086956522
26,0,16,0,0,1,2.260869565
50,0,16,0,1,1,1.47826087
49,1,15,1,1,1,2.956521739
32,1,17,2,0,1,2.52173913
22,0,15,2,0,1,3.217391304
40,1,15,0,1,1,2.173913043
23,1,12,0,0,1,1.652173913
35,0,12,1,0,1,2.913043478
40,0,18,1,2,1,2.826086957
21,0,12,1,1,1,2.956521739
35,0,15,1,1,1,3.434782609
38,0,15,0,1,1,0.956521739
31,1,15,2,0,1,2.782608696
26,0,12,0,1,1,2.347826087
21,1,12,1,0,1,2.130434783
22,0,15,2,1,1,2.782608696
24,1,12,0,0,1,2.869565217
22,0,14,2,0,1,3.130434783
29,1,17,0,1,1,2.391304348
39,1,15,0,1,1,1.913043478
27,0,17,0,2,1,3.086956522
68,0,15,0,0,1,2.304347826
35,1,15,0,2,1,2.47826087
25,1,15,1,0,1,2.826086957
59,1,17,0,2,1,0.826086957
20,0,12,0,1,1,2.47826087
35,0,15,2,0,1,2.347826087
21,0,13,2,0,1,2.652173913
41,1,15,0,0,1,2.173913043
50,1,27,0,1,1,0.956521739
31,0,15,1,1,1,2.826086957
28,0,15,0,1,1,1.739130435
27,0,15,0,1,1,2.47826087
62,0,15,0,2,1,2.47826087
38,1,15,2,0,1,0.956521739
27,0,15,0,1,1,2.565217391
28,0,17,0,2,1,2.391304348
32,1,15,0,2,1,2.347826087
27,1,15,2,0,1,1.956521739
65,1,20,0,1,1,1.652173913
23,1,12,0,1,1,2.434782609
31,1,16,0,1,1,2.695652174
34,1,15,0,1,1,0.913043478
24,0,15,2,0,1,2.47826087
22,0,12,0,2,1,2.347826087
41,1,17,0,1,1,3.086956522
26,0,12,1,0,1,2.260869565
26,0,15,0,1,1,3.086956522
23,0,14.5,0,2,1,2.47826087
42,0,19,0,2,1,2.173913043
26,0,15,1,2,1,2.869565217
36,1,18,0,0,1,2.652173913
18,1,12,2,1,1,2.391304348
20.6,1,12,0,0,1,2.565217391
33,1,13,2,1,1,1.739130435
20,0,12,1,2,1,2.739130435
70,0,14,0,2,1,1.652173913
24,0,13,1,1,1,1.913043478
50,0,12,0,2,1,2.869565217
19,0,12,0,0,1,2.217391304
19,0,12,1,0,1,3
62,0,11,1,1,1,2.52173913
36,1,15,0,0,1,2.652173913
23,1,12,1,0,1,2.608695652
55.5,0,12,0,1,1,1.434782609
40,0,12,1,1,1,2.130434783
38,0,12,1,1,1,2.695652174
