,js_code,ct_code,country,KII,fs_complexityIND_wop,fs_cousin_pref_cont_est2,fs_polygyny_cont,fs_polygyny_cont_std2,fs_localdom_est,fs_lineage,fs_clan,fs_year,ChurchExpWest,ChurchExpEast,bit_consang,bit_c_ln,bit_collectperiod,hfs_idv_std,swz_embed_std,wvs_dp_s_creative_C_std,wvs_obedience,wvs_dp_s_tradition_C_std,wvs_dp_s_behave_C_std_,wvs_OutInTrust_std,wvs_trust_std,wvs_fair_std,wvs_religion_imp,wvs_family_ties_std,BloodEstPopVol,BloodfracFam,fm_lviol_pc,va_nepotism,htg_cP_perc,htg_cNfirstperiod_perc,ms_perc_errors,gel_Tightnessscore,tal_holistic,hru_particularism,gs_percent_high,ag_pd1,ag_pd1000,ag_pd1500,ag_pdiv_aa,ag_yst_aa,ag_abslat,ag_distcr,ag_continent,ag_ln_gdppc2000,ft_CombinedParasiteStress,bar_CATH00,bar_PROT00,bar_OTHCHRIST00,bar_ORTH00,bar_MUSLIM00,bar_HINDU00,bar_BUDDIS00,irri_impact5,du_caloricsui,du_oat_rain,du_rye_rain,nu_rugged,nu_lat,nu_lon,nu_tropical,geodist_coord1,geodist_coord2,gendist_coord1,gendist_coord2,tal_analytic,IIP
110,JAM,388.0,Jamaica,1.3912995,1.2703141,1.0,2.0,1.4295459,1.0,1.0,1.0,1960.0,0.64919996,0.0,,,,0.0062437095,,,,,,,,,,,1.9428865,0.7914077,0.0,-0.41,,,,,,,,0.44332135,0.88664275,1.329964,0.74279803,3203.1965,18.25,0.012252499,Americas,8.416452706170025,-1.4612591,0.043,0.289,0.508,0.001,0.001,0.012,0.0,0.0,1639.51,0.0,0.0,1.7879276302364113,18.1560718374,-77.3105968128,100.0,-9655.654,640.9513,0.030139262,0.0072987922,,0.2806545
111,JEY,9028.0,Jersey,-1.2731818,-1.2217411,0.09411765,0.0,-1.106798,0.0,0.0,0.5,1925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1320.14,7674.38,10755.2,,,,,-1239.4147,3329.6152,,,,
112,JOR,400.0,Jordan,1.0349524,1.1613184,2.986473,1.1759846,0.38455263,0.7248642,1.0,0.2548965,1937.948,0.0,0.0614,39.7,3.6813512,1974.0,-0.40316525,1.001456,-1.6839652,55.589287,0.49655366,-0.34871143,-1.0961747,-0.1532697,0.37657368,2.944736,1.0302142,12.313672,0.505301,1.3789608,0.67,,,,,,,,7.2760344,4.5475216,2.2665458,0.7517855,10400.0,31.0,0.235173,Asia,8.269202732220192,-0.889155,0.007,0.003,0.012,0.02,0.935,0.0,0.0,0.5440676,134.71,491.489,648.849,1.096743720775841,31.2495632327,36.7883451413,0.0,3066.7383,1735.4307,-0.0037113768,-0.0070286677,,-0.556613
113,JPN,392.0,Japan,-0.930594,-0.7976877,0.00013472761,0.0,-1.106798,0.6666667,0.009924261,0.00071574043,1949.9965,0.0,0.0,4.8,1.5686159,1977.5,0.3246729,-0.80976135,0.6447794,5.850673,-1.6319904,-0.5289535,-0.54482025,1.0202663,-0.42063522,0.89070946,-1.231901,29.129349,0.0,0.0,-1.59,,,28.48,8.6,,32.0,,0.82304525,12.345679,46.639233,0.68345654,4500.0,36.0,0.039792098,Asia,10.084581807185524,-2.232946,0.004,0.006,0.028,0.0,0.001,0.0,0.571,0.0,1954.79,6062.17,10120.8,2.132432074675637,37.5400508712,137.962964511,0.006131225749628325,14337.761,2115.6152,-0.023539776,0.024349425,,0.6685901
114,KAZ,398.0,Kazakhstan,0.22743663,0.06901443,0.055890515,1.4061633,0.67645884,0.58586305,0.70308167,0.70296663,1923.366,0.1915,1.0615001,,,,,,-1.1399751,33.266666,0.6103861,0.81346834,0.011626153,0.8837007,0.4075764,1.6546667,,10.653294,,3.1071868,0.78,,,,,,,,0.3819914,0.63665235,0.89131325,0.7282582,6057.0,48.0,2.2916799,Asia,8.782561509826802,-1.9424891,0.031,0.002,0.047,0.086,0.427,0.0,0.001,0.9515024,613.883,2073.24,3504.51,0.3724780205611157,48.1799645931,67.313217274,0.0,6489.3237,3118.7366,-0.009496751,-0.009802166,,-0.4901185
115,KEN,404.0,Kenya,0.58665586,0.3450081,0.014502788,1.8246262,1.2071418,0.6342634,1.0,0.7393757,1922.569,0.0,0.0,,,,-0.6306147,,,,,,,,,,,5.2967515,0.0,2.1765854,0.13,,,,,,,75.0,0.17570369,1.4056295,2.6355555,0.7651619,3593.5,1.0,0.43426502,Africa,7.1449721926224985,4.661493,0.221,0.295,0.255,0.024,0.073,0.008,0.0,0.32513735,1183.66,0.0,0.0,0.6690699428231338,0.534126019054,37.8613878239,51.028298598492775,3129.9763,-1497.6678,0.025676765,0.0072008064,,-0.38864392
116,KGZ,417.0,Kyrgyzstan,0.93870217,0.71498084,0.0011418742,1.9878676,1.4141599,0.82614934,0.9939338,0.9875474,1910.5284,0.0,0.4041,,,,,,1.2132846,38.1046,-0.04833853,-0.83075583,-1.1711743,0.19826536,0.7347789,2.1021292,-0.020191243,,,1.8287116,0.45,,,,,,,,0.3819914,0.63665235,0.89131325,0.7259476,6390.0,41.0,1.8949699,Asia,8.128372273581915,-1.5389512,0.0,0.006,0.02,0.077,0.608,0.0,0.004,0.22941661,476.715,1915.33,3206.48,4.287271003379101,41.4644801081,74.5560605953,0.0,7286.257,2574.89,-0.008811219,-0.009990487,,0.10040627
117,KHM,116.0,Cambodia,-1.0500435,-1.348555,0.042086937,1.0,0.16137387,0.08398313,0.12730402,0.03489356,1949.6223,0.0,0.0,12.3,2.5095992,2004.0,,,,,,,,,,,,1.3144442,0.6740565,2.402124,0.99,,,,,,,,2.8325403,5.6650805,8.497621,0.69638276,4620.0,13.0,0.147114,Asia,6.242041252357419,3.1073909,0.002,0.002,0.007,0.0,0.023,0.003,0.847,0.0107618105,1366.84,0.0,0.0,0.5401807715583612,12.707456783,104.92135012,100.0,10617.142,-292.8153,-0.022139426,0.01944828,,-0.6797262
118,KIR,296.0,Kiribati,0.3234017,0.35148865,0.0,1.0,0.16137387,0.5,1.0,1.0,1915.0,,,,,,,,,,,,,,,,,0.19931903,0.98418605,,,,,,,,,,,,,,,1.4166666,,Oceania,7.266940029983381,-1.1437027,0.486,0.409,0.05,0.0,0.0,0.0,0.0,,,,,0.009512811363050912,0.699063759593,-46.9578987465,100.00000000000001,-6306.961,-1315.3098,-0.03022609,0.031237217,,-0.87806106
119,KNA,659.0,Saint Kitts and Nevis,1.3912995,1.2703141,1.0,2.0,1.4295459,1.0,1.0,1.0,1960.0,,,,,,,,,,,,,,,,,1.1189388,0.8343253,,,,,,,,,,0.44332135,0.88664275,1.329964,,,17.333334,,Americas,9.574517779643005,-1.121859,0.117,0.767,0.048,0.0,0.003,0.015,0.0,0.0,2068.75,0.0,0.0,0.006456274148090889,17.2740374836,-62.7043588279,100.0,-8031.5586,519.67096,0.03136869,0.009544672,,-0.81791925
